MessageID,Message
1,Exploratory Data Analysis(EDA) on Dataset
2,Load Attribute Data and Check
3,Getting a Response Column
4,Getting a Non-Factor Column
5,Getting a Factor Column
6,Getting a Nominal Type Column
7,Getting a Numeric Type Column
8,Getting a Binary Type Column
9,Load Data and Check
10,Data Columns
11,Data Information
12,Data Describe
13,Data Shape
14,Displaying Counted Unique Values of Nominal Attributes
15,Check data columns that will be dropped
16,Outlier Visualization and Process on that data
17,Displaying Categorical(nominal) Variables
18,Displaying Binary Variables
19,Group nominal columns according to response group(if response is a numeric or binary)
20,Correlation Between Numeric Column
21,Matrix that involves correlation values between numeric columns
22,Display Nominal Features Value Counts on pie graph
23,Display Binary Features Value Counts on bar
24,Check null values and processing on data
25,Apply dummy feature on nominal attribute
26,Import Machine Learning Algoritms Library
27,Min-Max Scaler
28,Splitting our data as test and train
29,Linear Regression
30,Ridge Regression
31,Lasso Regression
32,ElasticNet Regression
33,K Nearest Neighbor Regression
34,Support Vector Regression
35,Multi layer Perceptron (MLP) Regression
36,Decision Tree Regression
37,Random Forest Regression
38,Gradient Boosting Regression
39,XGBoost Regression
40,LightGBM Regression
41,Catboost Regression
42,Display r2 score values of Regression models
43,Display Mean Absolute Error values of Regression models
44,Display Mean Squared Error values of Regression models
45,Display Root Mean Squared Error values of Regression models
46,Logistic Regression
47,KNN Class
48,SVC
49,MLPC
50,Decision Tree Classification
51,Random Forest Classification
52,GBM Classification
53,XGBoost Classification
54,Lightgbm Classification
55,CatBoost  Classification
56,Displaying Accuracy Of Models
57,Univariate Analysis
58,Analysis for Values of Nominal Attributes
59,Missing Values Analysis
60,Regression Analysis
61,Data Fields and Types
62,Sample Data
63,Summary Statistics
64,Data Count and Values
65,Columns to be Dropped
66,Box Plots for Numeric Attributes
67,Frequency Charts for Nominal(Categorical) Attributes
68,Pie Charts for Nominal(Categorical) Attributes
69,Analysis of Missing(Null) Values
70,Encoding Nominal Attributes